municipio,Ano,focos
CURUÁ,2018,67
CURUÁ,2019,48
CURUÁ,2020,113
CURUÁ,2021,33
CURUÁ,2022,65
CURUÁ,2023,154
CURUÁ,2024,134
CURUÇÁ,2008,53
CURUÇÁ,2009,51
CURUÇÁ,2010,42
CURUÇÁ,2011,39
CURUÇÁ,2012,38
CURUÇÁ,2013,33
CURUÇÁ,2014,26
CURUÇÁ,2015,37
CURUÇÁ,2016,43
CURUÇÁ,2017,39
CURUÇÁ,2018,16
CURUÇÁ,2019,17
CURUÇÁ,2020,13
CURUÇÁ,2021,11
CURUÇÁ,2022,21
CURUÇÁ,2023,29
CURUÇÁ,2024,21
DOM ELISEU,2008,313
DOM ELISEU,2009,202
DOM ELISEU,2010,330
DOM ELISEU,2011,140
DOM ELISEU,2012,225
DOM ELISEU,2013,110
DOM ELISEU,2014,211
DOM ELISEU,2015,273
DOM ELISEU,2016,170
DOM ELISEU,2017,229
DOM ELISEU,2018,122
DOM ELISEU,2019,141
DOM ELISEU,2020,207
DOM ELISEU,2021,163
DOM ELISEU,2022,225
DOM ELISEU,2023,239
DOM ELISEU,2024,284
ELDORADO DO CARAJÁS,2008,372
ELDORADO DO CARAJÁS,2009,237
ELDORADO DO CARAJÁS,2010,571
ELDORADO DO CARAJÁS,2011,232
ELDORADO DO CARAJÁS,2012,187
ELDORADO DO CARAJÁS,2013,100
ELDORADO DO CARAJÁS,2014,139
ELDORADO DO CARAJÁS,2015,206
ELDORADO DO CARAJÁS,2016,83
ELDORADO DO CARAJÁS,2017,160
ELDORADO DO CARAJÁS,2018,56
ELDORADO DO CARAJÁS,2019,63
ELDORADO DO CARAJÁS,2020,39
ELDORADO DO CARAJÁS,2021,41
ELDORADO DO CARAJÁS,2022,54
ELDORADO DO CARAJÁS,2023,48
ELDORADO DO CARAJÁS,2024,67
FARO,2008,20
FARO,2009,69
FARO,2010,21
FARO,2011,23
FARO,2012,32
FARO,2013,29
FARO,2014,24
FARO,2015,46
FARO,2016,13
FARO,2017,41
FARO,2018,23
FARO,2019,21
FARO,2020,46
FARO,2021,28
FARO,2022,44
FARO,2023,57
FARO,2024,52
FLORESTA DO ARAGUAIA,2008,251
FLORESTA DO ARAGUAIA,2009,194
FLORESTA DO ARAGUAIA,2010,403
FLORESTA DO ARAGUAIA,2011,156
FLORESTA DO ARAGUAIA,2012,202
FLORESTA DO ARAGUAIA,2013,182
FLORESTA DO ARAGUAIA,2014,201
FLORESTA DO ARAGUAIA,2015,200
FLORESTA DO ARAGUAIA,2016,138
FLORESTA DO ARAGUAIA,2017,166
FLORESTA DO ARAGUAIA,2018,91
FLORESTA DO ARAGUAIA,2019,122
FLORESTA DO ARAGUAIA,2020,142
FLORESTA DO ARAGUAIA,2021,63
FLORESTA DO ARAGUAIA,2022,112
FLORESTA DO ARAGUAIA,2023,71
FLORESTA DO ARAGUAIA,2024,75
GARRAFÃO DO NORTE,2008,244
GARRAFÃO DO NORTE,2009,265
GARRAFÃO DO NORTE,2010,165
GARRAFÃO DO NORTE,2011,188
GARRAFÃO DO NORTE,2012,183
GARRAFÃO DO NORTE,2013,163
GARRAFÃO DO NORTE,2014,156
GARRAFÃO DO NORTE,2015,172
GARRAFÃO DO NORTE,2016,76
GARRAFÃO DO NORTE,2017,135
GARRAFÃO DO NORTE,2018,27
GARRAFÃO DO NORTE,2019,90
GARRAFÃO DO NORTE,2020,68
GARRAFÃO DO NORTE,2021,88
GARRAFÃO DO NORTE,2022,124
GARRAFÃO DO NORTE,2023,133
GARRAFÃO DO NORTE,2024,101
GOIANÉSIA DO PARÁ,2008,361
GOIANÉSIA DO PARÁ,2009,567
GOIANÉSIA DO PARÁ,2010,219
GOIANÉSIA DO PARÁ,2011,231
GOIANÉSIA DO PARÁ,2012,228
GOIANÉSIA DO PARÁ,2013,263
GOIANÉSIA DO PARÁ,2014,266
GOIANÉSIA DO PARÁ,2015,236
GOIANÉSIA DO PARÁ,2016,147
GOIANÉSIA DO PARÁ,2017,178
GOIANÉSIA DO PARÁ,2018,110
GOIANÉSIA DO PARÁ,2019,174
GOIANÉSIA DO PARÁ,2020,195
GOIANÉSIA DO PARÁ,2021,117
GOIANÉSIA DO PARÁ,2022,203
GOIANÉSIA DO PARÁ,2023,217
GOIANÉSIA DO PARÁ,2024,239
GURUPÁ,2008,87
GURUPÁ,2009,114
GURUPÁ,2010,76
GURUPÁ,2011,90
GURUPÁ,2012,99
GURUPÁ,2013,73
GURUPÁ,2014,86
GURUPÁ,2015,123
GURUPÁ,2016,177
GURUPÁ,2017,135
GURUPÁ,2018,60
GURUPÁ,2019,47
GURUPÁ,2020,83
GURUPÁ,2021,33
GURUPÁ,2022,43
GURUPÁ,2023,123
GURUPÁ,2024,358
IGARAPÉ-AÇU,2008,85
IGARAPÉ-AÇU,2009,80
IGARAPÉ-AÇU,2010,62
IGARAPÉ-AÇU,2011,54
IGARAPÉ-AÇU,2012,53
IGARAPÉ-AÇU,2013,38
IGARAPÉ-AÇU,2014,51
IGARAPÉ-AÇU,2015,32
IGARAPÉ-AÇU,2016,18
IGARAPÉ-AÇU,2017,32
IGARAPÉ-AÇU,2018,12
IGARAPÉ-AÇU,2019,20
IGARAPÉ-AÇU,2020,33
IGARAPÉ-AÇU,2021,23
IGARAPÉ-AÇU,2022,32
IGARAPÉ-AÇU,2023,34
IGARAPÉ-AÇU,2024,42
IGARAPÉ-MIRI,2008,144
IGARAPÉ-MIRI,2009,146
IGARAPÉ-MIRI,2010,104
IGARAPÉ-MIRI,2011,88
IGARAPÉ-MIRI,2012,111
IGARAPÉ-MIRI,2013,116
IGARAPÉ-MIRI,2014,92
IGARAPÉ-MIRI,2015,84
IGARAPÉ-MIRI,2016,138
IGARAPÉ-MIRI,2017,184
IGARAPÉ-MIRI,2018,64
IGARAPÉ-MIRI,2019,81
IGARAPÉ-MIRI,2020,94
IGARAPÉ-MIRI,2021,60
IGARAPÉ-MIRI,2022,82
IGARAPÉ-MIRI,2023,173
IGARAPÉ-MIRI,2024,152
INHANGAPI,2008,47
INHANGAPI,2009,74
INHANGAPI,2010,40
INHANGAPI,2011,34
INHANGAPI,2012,38
INHANGAPI,2013,33
INHANGAPI,2014,22
INHANGAPI,2015,25
INHANGAPI,2016,20
INHANGAPI,2017,36
INHANGAPI,2018,12
INHANGAPI,2019,6
INHANGAPI,2020,10
INHANGAPI,2021,7
INHANGAPI,2022,24
INHANGAPI,2023,23
INHANGAPI,2024,19
IPIXUNA DO PARÁ,2008,384
IPIXUNA DO PARÁ,2009,311
IPIXUNA DO PARÁ,2010,222
IPIXUNA DO PARÁ,2011,187
IPIXUNA DO PARÁ,2012,216
IPIXUNA DO PARÁ,2013,181
